"","DOX_24T_1","DMSO_24T_1","DOX_24R_1","DMSO_24R_1","DOX_144R_1","DMSO_144R_1","DOX_24T_2","DMSO_24T_2","DOX_24R_2","DMSO_24R_2","DOX_144R_2","DMSO_144R_2","DOX_24T_3","DMSO_24T_3","DOX_24R_3","DMSO_24R_3","DOX_144R_3","DMSO_144R_3","DOX_24T_4","DMSO_24T_4","DOX_24R_4","DMSO_24R_4","DOX_144R_4","DMSO_144R_4","DOX_24T_5","DMSO_24T_5","DOX_24R_5","DMSO_24R_5","DOX_144R_5","DMSO_144R_5","DOX_24T_6","DMSO_24T_6","DOX_24R_6","DMSO_24R_6","DOX_144R_6","DMSO_144R_6"
"11284",4.38814911783654,4.54733093325512,4.7539603467757,4.46440772021794,4.67573427373298,4.39411692015497,3.66850067895959,4.06897509730028,4.04861823878717,4.26071027931268,4.22495302662441,4.27034815014151,4.03501018747355,4.09813996259594,3.6946154635453,3.9119342533162,3.71606243279774,4.15248521309425,3.46153497571725,3.31112381866908,3.7600040204166,3.72871581433999,4.14910321377259,3.51195839805844,3.8510423652904,3.99699760523676,4.50726701961356,4.31440475204194,4.17506672852821,4.07775768963981,3.39752812512309,4.08380457197856,4.51877782829093,4.14000959017519,4.39006385147069,4.13552796727639
"84335",4.97257469858253,4.6380608745816,4.95091789008953,4.74936050608703,4.86370261509253,4.72151692458998,4.39060650060093,4.70358803927294,4.06744305403304,4.6774564566424,4.1136571556325,4.48280378093694,4.08935594792666,4.59366284165618,4.31956721416322,4.49000574541357,3.67400465006235,4.47285351330539,4.06316628663612,3.52002246981511,3.97742080217405,3.87982434078207,3.75073456696359,3.51985008558401,4.29412502828309,4.34612148561216,4.70748953192626,4.30250861988071,4.20490352178386,4.30630203143699,4.1629228391615,4.62227540893942,4.56583057196535,4.62400332937413,4.41334127433459,4.51136684035562
"79735",4.60358158510451,4.83988447158468,5.50389167904858,5.12478993054375,5.52566929656899,5.16187092445591,4.37936843837258,5.04988172094891,4.65598737392067,4.86537346982004,5.23194495784047,5.49474605324225,3.27061199448596,4.72514580225314,4.45733652957752,4.49198071394916,4.06656036376607,4.80301053027084,3.64390662160988,4.35403780585371,4.64234973642007,4.58031957763951,4.86371818236232,4.51467628146724,4.06882105268535,4.69038279963698,5.3033444314178,4.71163608513213,4.92209892018309,4.92817027797986,4.02667696579103,5.16600698062992,4.90313286031211,5.02591222140753,5.07270756796127,5.08934853537795
"23636",5.16007071534903,5.15221249618437,5.62530820757017,5.2534285320343,5.13232370864286,5.01670232071405,5.02552976690346,5.64166294750555,5.01994930716534,5.83953250602885,5.10674897534405,5.52413023891215,3.27954388945293,5.47329813104071,5.21963890414786,5.17547706960527,4.50047398593847,5.58094827002162,5.02412791925297,4.54242920806842,4.88081643370319,4.87887145800091,4.60454914048859,4.74981195862034,5.13062006535083,5.35939190966977,5.8133818001418,5.34850371852187,5.09507436715855,5.21240327041759,4.6070227120181,5.42489903634416,5.39511650560061,5.57354901223673,5.07562860614847,5.33879850923809
"22809",3.96317163263087,3.94704750511919,3.67340136188952,3.96051204517579,3.88714615169511,4.01943006573442,4.27408076297298,3.74427732572655,4.62364557373812,3.71640400217295,2.87776164607971,3.9989573135879,2.81628581780233,3.31809131157965,4.2823379360515,3.34455195753392,2.49671305354023,3.24747074910766,3.55195340106174,2.05138717034838,3.45642833135903,2.45906964175701,1.97704526527285,2.23010591356209,3.43431422449988,3.56855127550701,3.83750773759639,3.49850925183559,2.83720000234779,2.94935312005642,3.86685015569153,3.25529157630494,4.04954911778889,3.27013129959916,2.74665906957064,3.06011227313218
"51231",3.69424874787168,3.63517339863248,4.81820793890303,3.95304707878907,4.13484155872412,4.04230515367622,3.73172634677014,3.97447377303351,4.43358701153358,4.00042739277795,3.71278609909776,4.06442397827189,2.87639566853148,3.8527294281733,4.0362038419799,3.78559588876098,3.50950754065436,3.88308684422568,3.15513687526771,3.19766032190215,4.02701528660589,3.33620605046602,3.57483096082241,3.27451279248505,3.27099969037751,3.87334983037588,4.6913175297634,3.85515815496905,3.66919009199268,3.81974644348848,3.18301197035597,3.9035951044834,4.49263531403203,3.87797749958463,3.59694654187599,3.83675055261308
"25888",1.94500954335092,1.86865899912118,2.75780969175388,1.84658582151433,1.97866709105929,1.62529657599618,1.47891459833598,2.27796002131677,2.19010824325902,2.26537581459874,1.84861839256982,2.43604437545341,-0.25085958265264,1.56293805750877,2.76037779152499,1.82364012780564,1.28368111069736,2.27242831439988,1.57078649380444,1.22858890563653,2.13316974171328,1.35044126794619,1.58478190772025,1.5759654951427,1.62498452931637,2.03438492699657,2.76473269112352,1.95770314243266,1.89527934743428,2.10179875988145,1.60242337609897,2.34986348209681,2.43636401037064,2.02442843649712,1.93082909016799,2.25811057840335
"79784",3.52412148538879,3.72272344825755,3.05143273700444,3.83211004406688,3.86444940657856,3.93502667852819,4.01921850505299,4.82848539828227,3.0727053784244,4.8471882565851,5.09946457218391,5.45867632276533,-2.24401244257643,-1.49024525434937,-2.95356553319885,-2.70261454531156,-1.37743918609738,-1.71315190018768,3.86577831109155,4.06795901429779,3.11967750064325,4.39054164409981,4.75829088274649,4.46103519213647,0.411676673156055,0.623721245613278,-0.213940164080282,0.788914111199731,0.983833927611833,0.788337676422618,2.91285616170512,3.51752035469446,2.83882443196772,3.8412179846782,4.1027959581961,4.17902597605991
"3748",6.09389039022978,5.58157507915608,5.71599102820481,5.29977695864461,5.51259113431393,5.71984083851727,6.64550100895168,5.38117691008565,6.5443155259157,4.95159440268516,5.39075857205209,4.89034827532779,4.12695799554597,4.19838453748688,4.99413723599634,4.48009014370545,3.83806776338248,3.86251377322939,5.95465277580945,4.91044620146549,5.45306699565734,5.02224246509982,5.10580364212496,5.06232869478046,5.32582936590802,3.52707044026087,4.40189352900618,3.62998049247016,4.1796973602977,4.20308956474391,6.78699996654167,5.53286099037328,6.17826142927276,5.89529264588128,5.40082229968527,5.29773179188099
"7376",4.86225592512876,5.10333681817526,5.76620664650746,5.2579795043808,5.42068078025002,5.26162882903976,5.28841225794424,5.08422886233282,5.61364151441768,5.0329517461089,4.95034161768378,5.21618822714233,3.43951898914224,4.75551071659012,5.26995677602985,4.77104679538134,4.41550920687145,4.80660487110162,4.59854993498482,4.42331301601228,5.15727550832793,4.69191788056087,4.7916597068726,4.65863518443247,4.54076277063738,4.91443258967967,5.68144176705966,4.90340945550301,4.87861603001557,4.85199431957487,4.5438234839911,5.31033051685062,5.84635283902261,5.19082572636599,4.96970032180546,5.12685409912636
