"","x"
"922","84858"
"923","3778"
"924","9231"
"925","100128292"
"926","6229"
"927","57178"
"928","10105"
"929","143244"
"930","642361"
"931","80195"
"932","311"
"933","81619"
"934","10718"
"935","27069"
"936","54462"
"937","2894"
"938","23063"
"939","657"
"940","79812"
"941","6623"
"942","54537"
"943","728118"
"944","439994"
"945","728130"
"946","9562"
"947","9060"
"948","84896"
"949","100132116"
"950","59"
"951","24138"
"952","387700"
"953","119369"
"954","84333"
"955","143279"
"956","5507"
"957","80351"
"958","22849"
"959","54708"
"960","3416"
"961","64318"
"962","23232"
"963","9124"
"964","10580"
"965","26123"
"966","953"
"967","56889"
"968","728658"
"969","102723665"
"970","26148"
"971","23401"
"972","23223"
"973","84287"
"974","64210"
"975","80019"
"976","55361"
"977","60370"
"978","118813"
"979","401647"
"980","84171"
"981","84795"
"982","3257"
"983","26507"
"984","2805"
"985","81894"
"986","10613"
"987","6319"
"988","25956"
"989","4714"
"990","57715"
"991","56652"
"992","84445"
"993","81855"
"994","8945"
"995","27343"
"996","25911"
"997","6468"
"998","10724"
"999","30819"
"1000","79803"
"1001","23082"
"1002","9221"
"1003","8729"
"1004","5662"
"1005","79176"
"1006","79004"
"1007","100505761"
"1008","79847"
"1009","10121"
"1010","81603"
"1011","403"
"1012","118980"
"1013","119032"
"1014","729020"
"1015","9118"
"1016","84108"
"1017","6877"
"1018","84833"
"1019","51063"
"1020","9148"
"1021","9644"
"1022","9748"
"1023","119391"
"1024","85450"
"1025","114815"
"1026","7511"
"1027","1847"
"1028","9126"
"1029","282996"
"1030","27250"
"1031","92482"
"1032","8036"
"1033","57678"
"1034","143187"
"1035","55088"
"1036","84632"
"1037","3983"
"1038","57700"
"1039","142940"
"1040","57698"
"1041","22841"
"1042","143384"
"1043","8661"
"1044","119559"
"1045","10935"
"1046","7073"
"1047","9531"
"1048","22876"
"1049","79892"
"1050","2263"
"1051","11101"
"1052","10579"
"1053","59338"
"1054","5654"
"1055","80007"
"1056","64376"
"1057","9184"
"1058","119587"
"1059","1488"
"1060","26098"
"1061","7390"
"1062","92565"
"1063","8038"
"1064","1793"
"1065","4255"
"1066","387723"
"1067","119437"
"1068","10570"
"1069","80313"
"1070","3632"
"1071","54777"
"1072","101"
"1073","118472"
"1074","282969"
"1075","1892"
"1076","196743"
"1077","100133161"
"1078","51272"
"1079","60626"
"1080","23410"
"1081","10410"
"1082","81490"
"1083","6050"
"1084","100506211"
"1085","57661"
"1086","6888"
"1087","347862"
"1088","171391"
"1089","105369190"
"1090","55367"
"1091","6181"
"1092","283229"
"1093","5441"
"1094","66005"
"1095","54472"
"1096","81532"
"1097","338651"
"1098","1509"
"1099","6150"
"1100","10078"
"1101","10984"
"1102","1028"
"1103","5002"
"1104","7262"
"1105","4676"
"1106","833"
"1107","114879"
"1108","116969"
"1109","27315"
"1110","6737"
"1111","55128"
"1112","112464"
"1113","6609"
"1114","322"
"1115","10612"
"1116","23378"
"1117","3611"
"1118","6881"
"1119","1200"
"1120","8642"
"1121","8495"
"1122","8665"
"1123","65975"
"1124","9866"
"1125","6157"
"1126","6764"
"1127","56672"
"1128","56674"
"1129","493900"
"1130","56675"
"1131","283102"
"1132","23258"
"1133","440026"
"1134","10527"
"1135","7702"
"1136","7465"
"1137","23075"
"1138","440028"
"1139","81846"
"1140","133"
"1141","100463486"
"1142","50862"
"1143","9646"
"1144","1982"
"1145","729013"
"1146","374378"
"1147","55031"
"1148","55742"
"1149","7003"
"1150","84280"
"1151","84188"
"1152","22800"
"1153","144100"
"1154","6207"
"1155","374383"
"1156","11234"
"1157","2965"
"1158","55293"
"1159","144108"
"1160","79733"
"1161","89797"
"1162","10196"
"1163","2188"
"1164","2620"
"1165","258010"
"1166","159963"
"1167","387758"
"1168","55366"
"1169","55327"
"1170","497258"
"1171","3739"
"1172","26610"
"1173","79832"
"1174","55346"
"1175","283267"
"1176","10114"
"1177","966"
"1178","26273"
"1179","25841"
"1180","847"
"1181","8050"
"1182","6506"
"1183","24147"
"1184","54765"
"1185","79899"
"1186","5896"
"1187","119710"
"1188","55761"
"1189","387763"
"1190","84680"
"1191","2132"
"1192","3732"
"1193","9537"
"1194","1408"
"1195","9479"
"1196","9409"
"1197","51317"
"1198","90993"
"1199","8525"
"1200","4192"
"1201","9776"
"1202","79797"
"1203","9793"
