"","Individual","Line","Treatment","Timepoint","Condition","Magnification","Image","Nuclei_Count","Mean_of_Mean","Mean_of_Median","Mean_of_Max","Mean_Percent_Red_Positive","Mean_Red_Positive_Pixels","Mean_Norm_Percent_Red_Positive"
"50","Ind3","75-1","VEH","24R","VEH_24R","20X","DMSO_24Rdup_75_EMP_20X_RGB_0008_DAPI",77,13.5176461538462,10.1076923076923,42.5076923076923,37.7100923076923,189.892307692308,37.7101265109638
"51","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0004_DAPI",100,16.4743838383838,11.5353535353535,42.7373737373737,109.147636363636,487.252525252525,109.147633404806
"52","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0005_DAPI",344,18.7826187683284,14.3460410557185,36.6129032258064,233.003149560117,491.319648093842,233.003178310217
"53","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0006_DAPI",219,16.3887320574163,11.9186602870813,36.9952153110048,110.155985645933,278.846889952153,110.156000178052
"54","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0007_DAPI",73,13.9982173913043,10.231884057971,37.4927536231884,43.8533768115942,179.289855072464,43.8533990006043
"55","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0008_DAPI",76,14.1129014084507,10.3802816901408,37.2253521126761,45.959323943662,174.084507042254,45.9593675885003
"56","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0009_DAPI",136,22.1220597014925,12.8805970149254,52.3507462686567,147.313776119403,376.791044776119,147.313705427834
"57","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24T_75_EMP_20X_RGB_0010_DAPI",60,13.9026,9.72,50.8,54.6315,162.54,54.6316294152617
"58","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24Tdup_75_EMP_20X_RGB_0001_DAPI",199,18.4884659685864,11.6020942408377,56.0157068062827,112.501267015707,469.748691099476,112.501254850718
"59","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24Tdup_75_EMP_20X_RGB_0002_DAPI",116,14.5439217391304,10.2869565217391,48.1652173913043,61.1766173913043,283.660869565217,61.1766131949609
"60","Ind3","75-1","VEH","24T","VEH_24T","20X","DMSO_24Tdup_75_EMP_20X_RGB_0003_DAPI",257,20.6174007782101,13.8871595330739,45.6770428015564,194.954322957198,436,194.954289232147
"61","Ind3","75-1","DOX","144R","DOX_144R","20X","DOX_144R_75_EMP_20X_RGB_0004_DAPI",87,12.7796705882353,9.04705882352941,56.5411764705882,28.5560117647059,147.105882352941,28.5559752216739
"62","Ind3","75-1","DOX","144R","DOX_144R","20X","DOX_144R_75_EMP_20X_RGB_0005_DAPI",108,14.2646574074074,9.65740740740741,54.5833333333333,56.9841759259259,235.342592592593,56.984141124829
"63","Ind3","75-1","DOX","144R","DOX_144R","20X","DOX_144R_75_EMP_20X_RGB_0006_DAPI",72,21.2166805555556,14,74.4027777777778,271.610305555556,913.083333333333,271.610493039456
"64","Ind3","75-1","DOX","144R","DOX_144R","20X","DOX_144R_75_EMP_20X_RGB_0007_DAPI",99,13.6996808510638,9.80851063829787,44.1595744680851,58.7348829787234,162.68085106383,58.7349672301321
"65","Ind3","75-1","DOX","144R","DOX_144R","20X","DOX_144R_75_EMP_20X_RGB_0008_DAPI",63,12.4666724137931,9.10344827586207,37.2068965517241,31.5193793103448,71.6206896551724,31.519264630437
"66","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24R_75_EMP_20X_RGB_0001_DAPI",179,29.5938659217877,14.1899441340782,86.5474860335195,436.680396648045,1240.3687150838,436.680375581799
"67","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24R_75_EMP_20X_RGB_0002_DAPI",155,28.1790580645161,13.8516129032258,81.0774193548387,391.464696774194,1081.58709677419,391.464774983009
"68","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24R_75_EMP_20X_RGB_0005_DAPI",159,24.0573037974684,11.7848101265823,82.9493670886076,307.215126582278,1250.90506329114,307.215162735685
"69","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24Rdup_75_EMP_20X_RGB_0004_DAPI",123,29.6392231404959,13.5785123966942,121.652892561983,362.672504132231,2516.17355371901,362.672442452538
"70","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24Rdup_75_EMP_20X_RGB_0005_DAPI",224,33.35315625,14.8125,114.941964285714,424.7485625,1747.71428571429,424.74858822627
"71","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24Rdup_75_EMP_20X_RGB_0006_DAPI",264,37.5035076923077,16.5346153846154,113.1,477.291573076923,1512.23461538462,477.291663904
"72","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24Rdup_75_EMP_20X_RGB_0007_DAPI",279,35.871535971223,15.7589928057554,112.064748201439,466.290514388489,1474.38489208633,466.290488224635
"73","Ind3","75-1","DOX","24R","DOX_24R","20X","DOX_24Rdup_75_EMP_20X_RGB_0008_DAPI",100,24.24287,11.94,74.4,339.8424,1256.69,339.842340566529
"74","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0001_DAPI",206,47.7999563106796,18.121359223301,121.815533980583,559.930300970874,1516.79611650485,559.930329262471
"75","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0002_DAPI",204,39.314315270936,16.8177339901478,95.6256157635468,525.380876847291,1225.039408867,525.38098046324
"76","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0003_DAPI",223,45.4055294117647,19.1990950226244,108.343891402715,568.65521719457,1234.81447963801,568.655217623261
"77","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0004_DAPI",72,33.9222638888889,11.8055555555556,115.597222222222,398.513527777778,1664.29166666667,398.51347846259
"78","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0005_DAPI",246,54.6310408163265,22.2326530612245,128.89387755102,604.121991836735,1185.97959183673,604.121908218105
"79","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0006_DAPI",90,44.2847555555556,18.4333333333333,114.788888888889,566.193544444444,1715.05555555556,566.193531344821
"80","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24T_75_EMP_20X_RGB_0007_DAPI",120,36.9527166666667,12.5916666666667,113.975,436.695641666667,1627.075,436.695673613219
"81","Ind3","75-1","DOX","24T","DOX_24T","20X","DOX_24Tdup_75_EMP_20X_RGB_0001_DAPI",120,36.9527166666667,12.5916666666667,113.975,436.695641666667,1627.075,436.695673613219
