"","DOX_24T_Ind1","DMSO_24T_Ind1","DOX_24R_Ind1","DMSO_24R_Ind1","DOX_144R_Ind1","DMSO_144R_Ind1","DOX_24T_Ind2","DMSO_24T_Ind2","DOX_24R_Ind2","DMSO_24R_Ind2","DOX_144R_Ind2","DMSO_144R_Ind2","DOX_24T_Ind3","DMSO_24T_Ind3","DOX_24R_Ind3","DMSO_24R_Ind3","DOX_144R_Ind3","DMSO_144R_Ind3","DOX_24T_Ind4","DMSO_24T_Ind4","DOX_24R_Ind4","DMSO_24R_Ind4","DOX_144R_Ind4","DMSO_144R_Ind4","DOX_24T_Ind5","DMSO_24T_Ind5","DOX_24R_Ind5","DMSO_24R_Ind5","DOX_144R_Ind5","DMSO_144R_Ind5","DOX_24T_Ind6","DMSO_24T_Ind6","DOX_24R_Ind6","DMSO_24R_Ind6","DOX_144R_Ind6","DMSO_144R_Ind6","DOX_24T_Ind6REP","DMSO_24T_Ind6REP","DOX_24R_Ind6REP","DMSO_24R_Ind6REP","DOX_144R_Ind6REP","DMSO_144R_Ind6REP"
"26155",7.54356581698506,6.18644828275185,6.80286171514235,6.10183874971339,6.25690457014684,6.37180684761274,6.64968874496345,6.19195013983274,7.30173304586531,5.99323050479022,6.32515661109364,6.03808891587566,7.28732221369833,6.17342416955683,6.87485969298033,6.02494881959731,6.04060638986426,5.8250233702891,6.88520324871486,6.15728022740852,6.93185009282967,6.23282705247722,6.21927955703181,5.96728971862706,6.79124737818696,6.15193449395878,6.81963431037844,6.22096834621758,6.16651502694418,5.94072993690759,7.44146122880159,6.35166240245455,7.01424503725978,6.25152367531174,5.97166046979718,6.03899598972166,7.11937207049462,6.18067412566032,6.69873531537178,6.13295970204301,6.37621468470192,5.97886958156516
"339451",3.94664843157731,2.89561628959368,2.51634325950924,2.81267894530921,3.2717457235819,3.37312376557732,3.64373333753162,3.60050152174068,4.32388181348054,3.09382755962191,4.30217023026255,3.69616040977602,4.28016592675382,3.95424580933872,3.23602512108174,3.75272336765788,3.82894952834424,3.53023792461659,4.21462775345757,4.2707289923636,4.54318075679082,4.3880455571992,4.50112056304243,4.35976331789061,4.09870988104417,4.15530924134774,3.62978149938475,4.40121021272136,4.05800878262671,4.08077571111764,4.29292890534498,3.68500077778928,3.15933298688715,3.7754256301255,3.56221307986807,3.51520595409018,3.78128582977617,3.81373294439006,3.03944966352241,3.97319606668111,4.10667156453457,3.60967808610073
"57801",6.25012587367776,4.83700019366975,4.4450625925733,4.67690616821157,4.4815869702819,4.80840792352754,5.43423022834117,5.48423955254421,5.67354962768255,4.94791806878867,5.09045630900431,5.53585969098443,5.86701069923995,5.72308448906594,4.36012401158227,5.47647838853646,5.28939820137486,5.31035100550688,5.60941771283047,5.43576628933533,4.34978788448485,5.59417884609619,5.13692009829687,5.2137616840861,5.64894321472325,5.72699122367433,4.20840026056704,5.84842042833136,5.2448486405968,5.49012043207586,5.92914284573307,5.92189422948481,4.65245082714415,5.93519984046225,5.11393000911739,5.10642523125674,5.24632216018318,5.53939868598957,3.84256999524951,5.74758898154686,5.45761985882952,5.27439880760436
"9636",4.87562760143485,2.8210232498653,3.73804510299828,2.53897235162834,2.15900025673463,2.43699010031555,3.01048614525923,3.0204408095368,4.25930410972056,2.73326085495033,2.69963162581603,2.44982274416537,4.15681913210712,2.8493448161614,3.71019828097007,2.48402384786114,2.33970043894082,2.45006355313751,4.21132217808491,3.48256591199065,3.73189558299077,3.82194986559122,3.61997132929325,3.2356456266737,3.69460488665016,3.64406670741774,3.3172533169135,3.68188066665189,2.71995921226553,3.02523153861512,5.01810971446423,3.1643951821459,3.47859201648407,2.58719109024425,1.75653981116731,2.21371590958094,4.05883388231652,3.70717667038552,3.49365995035402,3.74918508294946,3.08620436596829,3.03868289491773
"375790",9.06518166323933,8.00637510821842,9.26757759734535,7.7657979765441,8.79429783607016,8.15299112365204,9.59191150526825,9.15967915197364,8.894355202851,8.51338453516594,9.24667843466033,8.60594644040621,9.4343925206129,9.42568545038034,8.89658632310108,9.14216638635082,9.39340134796494,9.12286662842287,10.1598209566775,9.86126908889258,9.38796607569861,10.0746420502856,9.64209260394377,9.72065608919408,10.3051618173982,9.78942660142355,9.13938274271526,10.1453283611986,9.80474653937597,9.82082874414857,9.68346750983168,9.07899360104862,9.04192208673618,9.38238425330394,9.29306110618237,8.79208381409082,10.0803789493838,9.85646984249387,9.01369303962971,9.81920203137378,9.73156552304076,9.51452570550221
"54991",2.25654255229968,3.42889223922884,1.56572672054484,3.4305660932611,2.95289772467097,3.22597685531757,2.88138292743348,3.75430374899482,2.99507074017614,3.52265001995211,3.7833196632716,3.67140287722176,1.92506359739172,3.59669028036865,2.51527561241351,3.21244741587565,3.1419057950184,3.43388789941536,3.06496133856081,3.78646421425067,3.51175182589636,3.54909249052025,3.67048489541218,3.49838480900156,2.66421332230609,3.45411842796277,2.97785134959445,3.64249018853811,3.66201881525496,3.59816196432896,2.18508583000561,3.5666506480416,2.61136382890736,3.74055728225728,3.31159894192437,3.35829481395322,2.47012689746313,3.69896146909057,2.86265305139456,3.60487734318092,3.39739414908332,3.50034203083736
"51150",8.2487147393798,7.7211728339611,8.1308701431673,7.65065975568341,7.96912524509692,7.81759094682926,8.46475967424624,7.67153650771559,8.12598608182645,7.57415199743455,8.25679386480521,7.63374598270785,8.588684399106,8.07123545240131,8.39658288763219,8.03541172964427,8.29698029745415,7.91997499105033,9.17929906124427,8.27126906871043,8.3363025770517,8.3315677606967,8.4501616710744,8.31368227583541,8.8924061953055,8.13284844752368,8.23253562223826,8.26009123649424,8.35882261755269,8.08974385214947,8.10708836269145,7.74314217956098,8.14207816138031,7.82351822904637,7.79110568795748,7.62676962027763,8.56811810582254,7.91575148995797,7.83376545842826,7.89209245340882,8.19563690882886,7.79144845707772
"126792",5.04891673943437,5.77689762819251,5.59985047733222,5.59866617706736,5.61166583800682,5.7379391070527,4.07864394312725,5.81615599382556,5.64223674926388,5.6221395390712,6.10784926524689,5.69908330062182,5.45582861693601,5.91750367100322,5.94302556266004,5.87869705538327,5.90780111389252,5.67447489160858,5.0375445005078,5.87431053791181,5.88975595731103,5.88361884608097,5.98241223268926,5.94916647194818,4.95472421318988,5.89875330547512,5.67908196249826,5.9771414469735,5.98883768557947,5.99252257897083,4.75017278162648,5.66922822925177,5.61119654971057,5.78287762123146,5.61887857843515,5.48350556926708,4.85794941134454,5.791033762925,5.18244956613179,5.8166687323614,5.83878898959893,5.67742642009758
"388581",-0.101873069431097,-0.859099825761007,-0.217048850026596,-0.124562277698244,-0.311049816287314,0.356658474646585,-0.0818963701572718,-0.28043173469429,1.18540626442278,-1.60458763160119,0.806648448524598,-0.190217279873864,0.365945325864745,-0.545596154758809,0.519344397113196,-0.693259514512075,-0.301762029728345,-0.852123718449682,0.394873407498647,0.384784738069049,0.810614560710362,-0.0394587130277849,0.424514016377041,0.621177102414186,0.738688546037699,-0.0358529938298404,-0.311388498792066,-0.299900451755613,-0.304911901031898,-0.31431869310452,0.733864439029719,-0.862251188475581,0.936539790593703,-0.151932358495321,0.0347330074046923,-0.0204350954577475,0.938028853695779,0.0137654674077192,0.429653310157667,0.405851843830725,0.562174819564898,0.071762931275644
"118424",6.15117529807934,5.12746944734058,6.03324416234266,5.17954738368154,4.97098151858692,5.10093666647678,4.11857865213238,5.33336940779884,6.20834362008956,5.17796075876995,5.44175069258709,5.0855910495769,5.93684841124364,5.20032739770442,6.01280541889665,5.17247195713098,5.11499339899413,4.92084356090058,5.53732865734283,5.47171366319907,6.10121717376377,5.48368061637516,5.55335597367922,5.40600547670269,5.46115329016662,5.20531017524762,5.9543120150005,5.30756777878931,5.32943946763501,5.15073303938691,6.22041917468569,5.43075223274576,5.9074104455733,5.28670922173243,5.00467090259226,5.06639885896396,5.69347213993101,5.34119314601403,5.9687364491382,5.33900427885643,5.50119201165325,5.17425773046535
