"","X.1","X","Sample","Sample_bam","Total_reads","Total_Align","Counts","Line","Sex","Ind","Old_Ind","Treatment","Old_Drug","Time","Old_Time","Sample_name","Sample_ID","Final_sample_name","Cond","Old_Condition","Timepoint","Sample_name_plots"
"29",29,29,"MCW_EMP_JT_R69","MCW_EMP_JT_R69.bam",38097726,"38,097,726","27,513,167","17-3","M","5","5","DOX","DOX","t144","144R","17-3_DOX_24+144","17-3_DOX_24+144","DOX_t144_5","DOX_t144","DOX_144R","tx+144","DOX_tx+144_5"
"30",30,30,"MCW_EMP_JT_R71","MCW_EMP_JT_R71.bam",33256825,"33,256,825","24,942,365","17-3","M","5","5","VEH","DMSO","t144","144R","17-3_DMSO_24+144","17-3_DMSO_24+144","VEH_t144_5","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_5"
"31",31,31,"MCW_EMP_JT_R72","MCW_EMP_JT_R72.bam",34503625,"34,503,625","25,308,109","90-1","M","6","6","DOX","DOX","t0","24T","90-1_DOX_24","90-1_DOX_24","DOX_t0_6","DOX_t0","DOX_24T","tx+0","DOX_tx+0_6"
"32",32,32,"MCW_EMP_JT_R74","MCW_EMP_JT_R74.bam",32948032,"32,948,032","25,666,994","90-1","M","6","6","VEH","DMSO","t0","24T","90-1_DMSO_24","90-1_DMSO_24","VEH_t0_6","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_6"
"33",33,33,"MCW_EMP_JT_R75","MCW_EMP_JT_R75.bam",35722610,"35,722,610","26,209,951","90-1","M","6","6","DOX","DOX","t24","24R","90-1_DOX_24+24","90-1_DOX_24+24","DOX_t24_6","DOX_t24","DOX_24R","tx+24","DOX_tx+24_6"
"34",34,34,"MCW_EMP_JT_R77","MCW_EMP_JT_R77.bam",32240270,"32,240,270","24,465,515","90-1","M","6","6","VEH","DMSO","t24","24R","90-1_DMSO_24+24","90-1_DMSO_24+24","VEH_t24_6","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_6"
"35",35,35,"MCW_EMP_JT_R78","MCW_EMP_JT_R78.bam",32863538,"32,863,538","23,359,517","90-1","M","6","6","DOX","DOX","t144","144R","90-1_DOX_24+144","90-1_DOX_24+144","DOX_t144_6","DOX_t144","DOX_144R","tx+144","DOX_tx+144_6"
"36",36,36,"MCW_EMP_JT_R80","MCW_EMP_JT_R80.bam",34746414,"34,746,414","25,460,267","90-1","M","6","6","VEH","DMSO","t144","144R","90-1_DMSO_24+144","90-1_DMSO_24+144","VEH_t144_6","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_6"
"37",37,37,"MCW_EMP_JT_R81","MCW_EMP_JT_R81.bam",32257033,"32,257,033","23,999,887","90-1REP","M","6R","6R","DOX","DOX","t0","24T","90-1_REP_DOX_24","90-1_REP_DOX_24","DOX_t0_6R","DOX_t0","DOX_24T","tx+0","DOX_tx+0_6R"
"38",38,38,"MCW_EMP_JT_R83","MCW_EMP_JT_R83.bam",33668019,"33,668,019","26,968,128","90-1REP","M","6R","6R","VEH","DMSO","t0","24T","90-1_REP_DMSO_24","90-1_REP_DMSO_24","VEH_t0_6R","VEH_t0","DMSO_24T","tx+0","VEH_tx+0_6R"
"39",39,39,"MCW_EMP_JT_R84","MCW_EMP_JT_R84.bam",33201257,"33,201,257","25,309,588","90-1REP","M","6R","6R","DOX","DOX","t24","24R","90-1_REP_DOX_24+24","90-1_REP_DOX_24+24","DOX_t24_6R","DOX_t24","DOX_24R","tx+24","DOX_tx+24_6R"
"40",40,40,"MCW_EMP_JT_R86","MCW_EMP_JT_R86.bam",32712150,"32,712,150","26,563,545","90-1REP","M","6R","6R","VEH","DMSO","t24","24R","90-1_REP_DMSO_24+24","90-1_REP_DMSO_24+24","VEH_t24_6R","VEH_t24","DMSO_24R","tx+24","VEH_tx+24_6R"
"41",41,41,"MCW_EMP_JT_R87","MCW_EMP_JT_R87.bam",28763818,"28,763,818","21,521,939","90-1REP","M","6R","6R","DOX","DOX","t144","144R","90-1_REP_DOX_24+144","90-1_REP_DOX_24+144","DOX_t144_6R","DOX_t144","DOX_144R","tx+144","DOX_tx+144_6R"
"42",42,42,"MCW_EMP_JT_R89","MCW_EMP_JT_R89.bam",33151095,"33,151,095","25,814,892","90-1REP","M","6R","6R","VEH","DMSO","t144","144R","90-1_REP_DMSO_24+144","90-1_REP_DMSO_24+144","VEH_t144_6R","VEH_t144","DMSO_144R","tx+144","VEH_tx+144_6R"
